4,5,3,11,10,9,9,12,8,10,5,6,9,13,8,8,7,9,9,5
10,8,9,13,11,8,15,6,10,10,11,10,8,11,7,8,10,11,7,11
9,7,10,7,9,5,12,9,8,12,8,10,8,10,8,13,9,10,11,9
8,11,13,10,9,8,10,10,8,11,11,13,10,8,10,11,7,7,9,8
15,10,8,12,10,9,8,8,8,10,11,10,11,6,13,11,10,7,10,11
6,11,8,8,11,9,9,12,14,10,13,11,6,11,12,9,14,11,5,10
11,10,8,12,7,9,10,11,9,7,10,8,8,9,10,12,12,8,11,10
10,9,13,9,11,9,10,7,9,10,12,11,8,12,15,8,7,13,13,10
8,10,8,9,11,8,11,9,9,9,11,8,8,10,9,9,8,8,9,8
11,10,11,13,10,5,10,10,10,8,9,5,9,8,10,12,10,9,12,12
