15,12,12,10,12,10,13,11,13,11,13,10,13,13,6,8,12,12,12,16
14,15,11,11,14,14,14,14,10,9,11,12,12,13,12,16,11,12,12,9
11,13,12,13,12,12,13,13,10,10,11,12,13,13,14,11,11,8,11,9
11,12,7,12,15,13,14,14,14,13,16,11,16,13,9,14,13,14,11,12
13,13,14,11,10,11,16,9,11,14,12,11,12,13,12,11,10,12,11,12
11,14,12,11,9,12,13,8,8,11,11,13,13,9,15,11,14,11,13,11
12,10,13,9,13,9,14,13,10,13,11,10,12,12,7,9,12,7,12,10
6,11,13,15,12,12,10,11,9,15,12,12,12,10,11,12,10,10,12,11
9,13,13,13,13,13,10,13,11,12,16,14,14,11,10,12,12,12,12,11
13,10,12,8,8,13,10,9,10,11,8,11,12,10,9,13,8,10,12,13
