11,15,13,15,13,13,13,13,10,14,13,13,14,14,14,13,15,17,16,15
11,16,16,15,12,12,16,14,14,15,16,13,13,14,17,14,13,14,15,10
14,15,13,16,15,13,11,13,11,11,12,16,12,13,15,12,14,14,14,12
14,13,13,16,12,15,9,11,10,11,10,12,14,13,12,11,14,12,17,13
12,17,12,15,13,15,15,12,15,14,15,13,15,11,16,14,13,13,8,16
13,11,12,13,16,13,14,11,13,14,7,13,14,10,11,14,12,14,11,14
11,13,12,10,13,14,13,15,15,15,17,10,13,13,10,15,13,11,14,11
13,12,15,16,14,16,15,13,13,13,13,16,15,18,14,16,16,14,11,13
14,13,15,16,15,14,13,16,15,15,17,14,11,16,14,13,17,15,16,13
11,13,10,11,11,13,14,10,13,13,9,11,10,14,14,11,15,12,16,13
