P VALUE,PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
0.10,MIXED,PROXIMITY,20
0.10,MIXED,DEGREE,11
0.10,MIXED,PROTECTION,13
0.20,MIXED,PROXIMITY,5
0.20,MIXED,DEGREE,0
0.20,MIXED,PROTECTION,21
0.30,MIXED,PROXIMITY,3
0.30,MIXED,DEGREE,2
0.30,MIXED,PROTECTION,22
0.40,MIXED,PROXIMITY,0
0.40,MIXED,DEGREE,0
0.40,MIXED,PROTECTION,25
0.50,MIXED,PROXIMITY,0
0.50,MIXED,DEGREE,0
0.50,MIXED,PROTECTION,25
0.60,MIXED,PROXIMITY,2
0.60,MIXED,DEGREE,3
0.60,MIXED,PROTECTION,25
0.70,MIXED,PROXIMITY,0
0.70,MIXED,DEGREE,0
0.70,MIXED,PROTECTION,25
0.80,MIXED,PROXIMITY,1
0.80,MIXED,DEGREE,1
0.80,MIXED,PROTECTION,25
0.90,MIXED,PROXIMITY,0
0.90,MIXED,DEGREE,0
0.90,MIXED,PROTECTION,25
