P VALUE,PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
0.05,MIXED,PROXIMITY,402
0.05,MIXED,DEGREE,171
0.05,MIXED,PROTECTION,189
0.05,MIXED,PROXIMITY,402
0.05,MIXED,DEGREE,171
0.05,MIXED,PROTECTION,189
0.05,MIXED,PROXIMITY,402
0.05,MIXED,DEGREE,171
0.05,MIXED,PROTECTION,189
0.05,MIXED,PROXIMITY,402
0.05,MIXED,DEGREE,171
0.05,MIXED,PROTECTION,189
0.05,MIXED,PROXIMITY,402
0.05,MIXED,DEGREE,171
0.05,MIXED,PROTECTION,189
0.05,MIXED,PROXIMITY,402
0.05,MIXED,DEGREE,171
0.05,MIXED,PROTECTION,189
0.05,MIXED,PROXIMITY,402
0.05,MIXED,DEGREE,171
0.05,MIXED,PROTECTION,189
0.05,MIXED,PROXIMITY,402
0.05,MIXED,DEGREE,171
0.05,MIXED,PROTECTION,189
0.05,MIXED,PROXIMITY,402
0.05,MIXED,DEGREE,171
0.05,MIXED,PROTECTION,189
0.05,MIXED,PROXIMITY,402
0.05,MIXED,DEGREE,171
0.05,MIXED,PROTECTION,189
0.10,MIXED,PROXIMITY,157
0.10,MIXED,DEGREE,73
0.10,MIXED,PROTECTION,320
0.10,MIXED,PROXIMITY,157
0.10,MIXED,DEGREE,73
0.10,MIXED,PROTECTION,320
0.10,MIXED,PROXIMITY,157
0.10,MIXED,DEGREE,73
0.10,MIXED,PROTECTION,320
0.10,MIXED,PROXIMITY,157
0.10,MIXED,DEGREE,73
0.10,MIXED,PROTECTION,320
0.10,MIXED,PROXIMITY,157
0.10,MIXED,DEGREE,73
0.10,MIXED,PROTECTION,320
0.10,MIXED,PROXIMITY,157
0.10,MIXED,DEGREE,73
0.10,MIXED,PROTECTION,320
0.10,MIXED,PROXIMITY,157
0.10,MIXED,DEGREE,73
0.10,MIXED,PROTECTION,320
0.10,MIXED,PROXIMITY,157
0.10,MIXED,DEGREE,73
0.10,MIXED,PROTECTION,320
0.10,MIXED,PROXIMITY,157
0.10,MIXED,DEGREE,73
0.10,MIXED,PROTECTION,320
