17,19,18,18,18,18,17,19,19,16,19,17,16,17,19,18,18,17,17,17
16,18,17,18,17,18,17,17,17,18,13,17,18,15,16,16,16,17,18,17
16,15,16,17,17,18,17,16,12,16,17,17,18,17,18,17,18,17,18,17
16,19,18,19,15,18,18,18,17,18,17,16,18,17,16,18,16,14,18,16
18,17,19,18,15,17,17,16,18,19,16,16,17,18,19,19,18,15,17,15
17,17,18,16,15,17,18,17,18,16,19,16,18,17,17,18,19,18,18,17
18,17,17,18,17,19,17,16,18,18,18,14,18,16,17,15,18,17,17,17
17,18,18,18,18,18,17,18,18,16,18,17,19,18,17,16,18,18,19,18
18,16,16,16,17,18,18,16,19,18,16,19,16,17,19,19,19,16,16,17
14,17,17,17,16,17,16,16,17,17,18,18,18,18,12,18,16,16,17,17
