MIN DEGREE,PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
1,DETERMINISTIC,PROXIMITY,16
1,DETERMINISTIC,DEGREE,8
1,DETERMINISTIC,PROTECTION,478
1,DETERMINISTIC,PROXIMITY,16
1,DETERMINISTIC,DEGREE,8
1,DETERMINISTIC,PROTECTION,478
1,DETERMINISTIC,PROXIMITY,16
1,DETERMINISTIC,DEGREE,8
1,DETERMINISTIC,PROTECTION,478
1,DETERMINISTIC,PROXIMITY,16
1,DETERMINISTIC,DEGREE,8
1,DETERMINISTIC,PROTECTION,478
1,DETERMINISTIC,PROXIMITY,16
1,DETERMINISTIC,DEGREE,8
1,DETERMINISTIC,PROTECTION,478
1,DETERMINISTIC,PROXIMITY,16
1,DETERMINISTIC,DEGREE,8
1,DETERMINISTIC,PROTECTION,478
1,DETERMINISTIC,PROXIMITY,16
1,DETERMINISTIC,DEGREE,8
1,DETERMINISTIC,PROTECTION,478
1,DETERMINISTIC,PROXIMITY,16
1,DETERMINISTIC,DEGREE,8
1,DETERMINISTIC,PROTECTION,478
1,DETERMINISTIC,PROXIMITY,16
1,DETERMINISTIC,DEGREE,8
1,DETERMINISTIC,PROTECTION,478
1,DETERMINISTIC,PROXIMITY,16
1,DETERMINISTIC,DEGREE,8
1,DETERMINISTIC,PROTECTION,478
2,DETERMINISTIC,PROXIMITY,51
2,DETERMINISTIC,DEGREE,4
2,DETERMINISTIC,PROTECTION,448
2,DETERMINISTIC,PROXIMITY,51
2,DETERMINISTIC,DEGREE,4
2,DETERMINISTIC,PROTECTION,448
2,DETERMINISTIC,PROXIMITY,51
2,DETERMINISTIC,DEGREE,4
2,DETERMINISTIC,PROTECTION,448
2,DETERMINISTIC,PROXIMITY,51
2,DETERMINISTIC,DEGREE,4
2,DETERMINISTIC,PROTECTION,448
2,DETERMINISTIC,PROXIMITY,51
2,DETERMINISTIC,DEGREE,4
2,DETERMINISTIC,PROTECTION,448
2,DETERMINISTIC,PROXIMITY,51
2,DETERMINISTIC,DEGREE,4
2,DETERMINISTIC,PROTECTION,448
2,DETERMINISTIC,PROXIMITY,51
2,DETERMINISTIC,DEGREE,4
2,DETERMINISTIC,PROTECTION,448
2,DETERMINISTIC,PROXIMITY,51
2,DETERMINISTIC,DEGREE,4
2,DETERMINISTIC,PROTECTION,448
2,DETERMINISTIC,PROXIMITY,51
2,DETERMINISTIC,DEGREE,4
2,DETERMINISTIC,PROTECTION,448
2,DETERMINISTIC,PROXIMITY,51
2,DETERMINISTIC,DEGREE,4
2,DETERMINISTIC,PROTECTION,448
3,DETERMINISTIC,PROXIMITY,90
3,DETERMINISTIC,DEGREE,9
3,DETERMINISTIC,PROTECTION,418
3,DETERMINISTIC,PROXIMITY,90
3,DETERMINISTIC,DEGREE,9
3,DETERMINISTIC,PROTECTION,418
3,DETERMINISTIC,PROXIMITY,90
3,DETERMINISTIC,DEGREE,9
3,DETERMINISTIC,PROTECTION,418
3,DETERMINISTIC,PROXIMITY,90
3,DETERMINISTIC,DEGREE,9
3,DETERMINISTIC,PROTECTION,418
3,DETERMINISTIC,PROXIMITY,90
3,DETERMINISTIC,DEGREE,9
3,DETERMINISTIC,PROTECTION,418
3,DETERMINISTIC,PROXIMITY,90
3,DETERMINISTIC,DEGREE,9
3,DETERMINISTIC,PROTECTION,418
3,DETERMINISTIC,PROXIMITY,90
3,DETERMINISTIC,DEGREE,9
3,DETERMINISTIC,PROTECTION,418
3,DETERMINISTIC,PROXIMITY,90
3,DETERMINISTIC,DEGREE,9
3,DETERMINISTIC,PROTECTION,418
3,DETERMINISTIC,PROXIMITY,90
3,DETERMINISTIC,DEGREE,9
3,DETERMINISTIC,PROTECTION,418
3,DETERMINISTIC,PROXIMITY,90
3,DETERMINISTIC,DEGREE,9
3,DETERMINISTIC,PROTECTION,418
4,DETERMINISTIC,PROXIMITY,279
4,DETERMINISTIC,DEGREE,16
4,DETERMINISTIC,PROTECTION,260
4,DETERMINISTIC,PROXIMITY,279
4,DETERMINISTIC,DEGREE,16
4,DETERMINISTIC,PROTECTION,260
4,DETERMINISTIC,PROXIMITY,279
4,DETERMINISTIC,DEGREE,16
4,DETERMINISTIC,PROTECTION,260
4,DETERMINISTIC,PROXIMITY,279
4,DETERMINISTIC,DEGREE,16
4,DETERMINISTIC,PROTECTION,260
4,DETERMINISTIC,PROXIMITY,279
4,DETERMINISTIC,DEGREE,16
4,DETERMINISTIC,PROTECTION,260
4,DETERMINISTIC,PROXIMITY,279
4,DETERMINISTIC,DEGREE,16
4,DETERMINISTIC,PROTECTION,260
4,DETERMINISTIC,PROXIMITY,279
4,DETERMINISTIC,DEGREE,16
4,DETERMINISTIC,PROTECTION,260
4,DETERMINISTIC,PROXIMITY,279
4,DETERMINISTIC,DEGREE,16
4,DETERMINISTIC,PROTECTION,260
4,DETERMINISTIC,PROXIMITY,279
4,DETERMINISTIC,DEGREE,16
4,DETERMINISTIC,PROTECTION,260
4,DETERMINISTIC,PROXIMITY,279
4,DETERMINISTIC,DEGREE,16
4,DETERMINISTIC,PROTECTION,260
Watts-Strogatz
Identified a graph requiring a probability.
