13,12,17,14,17,19,16,14,17,13,16,13,15,15,12,16,15,18,15,15
15,17,16,14,18,15,14,17,18,14,14,17,16,17,19,13,15,16,15,18
15,13,16,13,14,13,14,15,15,15,17,15,13,15,11,15,17,16,13,15
14,13,18,17,16,16,16,11,13,17,16,14,16,17,13,15,17,17,18,16
17,17,16,17,15,16,15,12,15,15,14,15,16,17,17,16,14,17,14,15
13,15,12,18,14,14,15,17,14,16,16,14,17,14,16,13,16,15,13,14
14,16,16,15,13,14,14,17,15,14,14,13,15,13,16,19,13,15,15,17
15,15,16,17,15,17,11,18,14,16,18,12,14,15,15,16,15,13,17,13
16,15,17,14,13,13,15,15,13,15,17,17,12,18,12,17,14,13,13,17
18,16,15,15,13,12,17,18,16,14,18,17,15,15,14,14,16,17,14,14
